"Credit Serial Numbers","Date Issued (GMT)","Vintage","Vintage Assignment Period Start Date","Vintage Assignment Period End Date","Quantity of Credits","Account Holder","Status Effective (GMT)","Retired on Behalf of","Retirement Reason","Purpose of Retirement","Project ID","Project Name","Project Type","Project Methodology/Protocol","Methodology/Protocol Version","Project Site Location","Project Site State","Project Site Country","ARB Eligible","Ecology Eligible","CORSIA Eligible","Eligible for CORSIA 2021-2023 Compliance Period (Pilot Phase)","Eligible for CORSIA 2024-2026 Compliance Period (First Phase)","CCP Approved","Verified Removal","Sustainable Development Goal(s)","Project Website","Documents",
"ACR-US-114-2018-1072-425 to 1424","7/31/2020 9:00:06 PM","2018","1/1/2018","12/31/2018","1000","Arbor Day Foundation","10/4/2021 5:55:00 PM","","On Behalf of Third Party","On Behalf of Atkore International Inc.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","Yes","Yes","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-499-2018-1026-51354 to 51438","6/17/2020 1:09:57 PM","2018","8/20/2018","12/31/2018","85","Pachama Inc.","10/1/2021 11:25:41 PM","","On Behalf of Third Party","On behalf of Onfleet 2652","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-126-2012-333-6739 to 29507","7/3/2014 10:05:24 PM","2012","7/1/2012","12/31/2012","22769","521","10/1/2021 11:39:18 AM","","Environmental Benefit","","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-212-2018-1154-1016 to 16015","11/23/2020 11:09:01 PM","2018","7/28/2018","12/31/2018","15000","521","10/1/2021 11:37:52 AM","","Environmental Benefit","","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-386-2019-988-870 to 966","4/13/2020 10:50:06 PM","2019","1/1/2019","6/29/2019","97","Pachama Inc.","10/1/2021 12:24:26 AM","","On Behalf of Third Party","On behalf of participants in United States bundle 3485","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2019-1025-64324 to 64604","6/17/2020 1:09:56 PM","2019","1/1/2019","8/12/2019","281","Pachama Inc.","10/1/2021 12:23:59 AM","","On Behalf of Third Party","On behalf of participants in United States bundle 3485","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2018-1026-51347 to 51353","6/17/2020 1:09:57 PM","2018","8/20/2018","12/31/2018","7","Pachama Inc.","10/1/2021 12:17:58 AM","","On Behalf of Third Party","On behalf of participants in Shipbob bundle 3486","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2019-1025-71348 to 73267","6/17/2020 1:09:56 PM","2019","1/1/2019","8/12/2019","1920","Pachama Inc.","9/30/2021 11:24:36 PM","","On Behalf of Third Party","On behalf of New Belgium, 3476","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2019-1207-28001 to 31988","2/8/2021 7:55:38 PM","2019","8/13/2019","12/31/2019","3988","Pachama Inc.","9/30/2021 11:23:05 PM","","On Behalf of Third Party","On behalf of New Belgium, 3476","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2020-1206-78001 to 78270","2/8/2021 7:55:38 PM","2020","1/1/2020","8/12/2020","270","Pachama Inc.","9/30/2021 11:21:55 PM","","On Behalf of Third Party","On behalf of New Belgium, 3477","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-534-2019-1233-84087 to 84114","3/29/2021 6:12:15 PM","2019","1/10/2019","12/31/2019","28","Anew Carbon Development, LLC","9/30/2021 11:21:12 PM","","On Behalf of Third Party","Retired  for Treya Partners on behalf of Public Goods","ACR534","Anew - Shaan Seet Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales Island","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-499-2019-1207-23001 to 28000","2/8/2021 7:55:38 PM","2019","8/13/2019","12/31/2019","5000","Pachama Inc.","9/30/2021 10:46:06 PM","","On Behalf of Third Party","On behalf of Bayshore #3451","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-222-2014-750-1901 to 2900","8/31/2018 5:33:02 AM","2014","1/1/2010","12/31/2014","1000","Bonneville Environmental Foundation","9/30/2021 4:23:27 PM","","On Behalf of Third Party","Retired on behalf of Cloverly","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","Agricultural Land Management","Avoided Conversion of Grasslands and Shrublands to Crop Production","Version 1.0","Missouri Coteau","NORTH DAKOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;13: Climate Action;15: Life on Land","","View",
"ACR-US-114-2017-734-466462 to 468108","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","1647","Climate Impact Partners, LLC","9/29/2021 4:27:47 PM","","Other","Retired on behalf of Apax Partners LLP to compensate for verified Scope 1, 2 and 3 emissions in 2019 and 2020.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-441-2018-865-69779 to 73846","7/12/2019 12:17:48 AM","2018","6/5/2018","12/5/2018","4068","The Nature Conservancy","9/28/2021 12:43:44 PM","","On Behalf of Third Party","For Cool Effect sales from 2020-2021","ACR441","TNC-Chestnut Mountain Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","White County","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","https://www.nature.org/en-us/about-us/where-we-work/united-states/tennessee/stories-in-tennessee/chestnut-mountain-a-gift-for-all-of-tennessee/","View",
"ACR-US-622-2020-1264-1 to 25000","5/21/2021 4:52:49 PM","2020","1/1/2020","12/31/2020","25000","1st Climate Solutions DBA Brian R. Anderson, Inc.","9/24/2021 5:13:33 PM","","On Behalf of Third Party","Retired on behalf of IDT Energy and its affiliates , to offset their usage/emissions of 25,000.00 TONS.","ACR622","Foam Blowing Agent Project 003F","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-376-2018-864-45681 to 46477","7/3/2019 9:30:26 PM","2018","3/17/2017","9/15/2018","797","Maple Leaf Foods","9/24/2021 1:37:18 PM","","Environmental Benefit","Carbon Neutral (Greenleaf Foods SPC)","ACR376","Anew - Massachusetts Tri-City Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-368-2018-804-5268 to 5501","2/5/2019 7:15:55 AM","2018","9/26/2017","9/25/2018","234","South Pole USA Inc.","9/23/2021 1:45:42 PM","","Environmental Benefit","Retired on behalf of Zip Money Payments Pty Limited","ACR368","Anew - Middlebury Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Middlebury, Vermont","VERMONT","US","No","No","No","","","","","03: Good Health and Well-Being;04: Quality Education;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land","","View",
"ACR-US-126-2014-396-80134 to 85146","8/28/2015 2:28:40 PM","2014","1/1/2014","6/30/2014","5013","Just Energy (U.S.) Corp.","9/22/2021 7:50:24 PM","","Retail Program Requirements","2020 Terrapass retired in support of commercial sales","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-272-2015-421-248096 to 248103","4/25/2016 10:21:34 PM","2015","1/1/2014","9/30/2015","8","Just Energy (U.S.) Corp.","9/22/2021 7:47:09 PM","","Retail Program Requirements","2020 Terrapass retired in support of commercial sales","ACR272","Bear Creek Watershed Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","10 miles southeast of the city of Astoria","OREGON","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-272-2015-421-246057 to 248095","4/25/2016 10:21:34 PM","2015","1/1/2014","9/30/2015","2039","Just Energy (U.S.) Corp.","9/22/2021 3:20:17 PM","","Retail Program Requirements","2019 Terrapass retired in support of commercial sales","ACR272","Bear Creek Watershed Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","10 miles southeast of the city of Astoria","OREGON","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-126-2014-590-72965 to 74689","11/22/2016 9:26:21 PM","2014","7/1/2014","12/31/2014","1725","Just Energy (U.S.) Corp.","9/22/2021 3:18:21 PM","","Retail Program Requirements","2019 Terrapass retired in support of commercial sales","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-499-2019-1025-64314 to 64323","6/17/2020 1:09:56 PM","2019","1/1/2019","8/12/2019","10","Pachama Inc.","9/22/2021 12:07:01 AM","","On Behalf of Third Party","On behalf of participants in United States bundle 3428","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-386-2019-988-535 to 544","4/13/2020 10:50:06 PM","2019","1/1/2019","6/29/2019","10","Pachama Inc.","9/22/2021 12:06:36 AM","","On Behalf of Third Party","On behalf of participants in United States bundle 3428","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-499-2019-1025-64304 to 64313","6/17/2020 1:09:56 PM","2019","1/1/2019","8/12/2019","10","Pachama Inc.","9/22/2021 12:02:56 AM","","On Behalf of Third Party","On behalf of participants in United States portfolio bundle 3428","ACR499","Anew - Kootznoowoo Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-398-2020-1244-66199 to 66210","4/29/2021 10:19:24 PM","2020","1/1/2020","10/9/2020","12","First Pacific Financial","9/20/2021 8:17:36 PM","","Environmental Benefit","FPF Retires these credits on the behalf of Jessica Engblom-Stryker because he is awesome","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-148-2008-470-391 to 2890","6/2/2016 2:43:47 PM","2008","1/1/2008","12/31/2008","2500","Carbonfund.org","9/20/2021 6:50:44 PM","","Retail Program Requirements","Retired on behalf of Carbonfund.org Foundation's donor Flock Freight","ACR148","Truck Stop Electrification, New Mexico","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","New Mexico","NEW MEXICO","US","No","No","No","","","","","","","View",
"ACR-US-398-2020-1244-66187 to 66198","4/29/2021 10:19:24 PM","2020","1/1/2020","10/9/2020","12","First Pacific Financial","9/17/2021 3:57:34 PM","","Environmental Benefit","FPF Retires these credits on the behalf of Adam Wishard because he is awesome","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
